SN,GANTRY_HEIGHT,ADDRESS,CAR_PARK_NO,X_COORD,Y_COORD,CAR_PARK_TYPE
565,5.4,BLK 238/241 BUKIT BATOK EAST AVENUE 5,U16,19291.0823,36949.9677,SURFACE CAR PARK
566,2.15,BLK 892C WOODLANDS DRIVE 50,W57,23118.191,46497.6326,MULTI-STOREY CAR PARK
567,1.9,BLK 631 BUKIT BATOK CENTRAL,U39,18837.6188,36875.2113,MULTI-STOREY CAR PARK
568,4.5,BLK 148 TO 150 LORONG 1 TOA PAYOH,TP22,29193.44,35154.68,SURFACE CAR PARK
569,2.15,BLK 681 WOODLANDS DRIVE 62,W98,24682.0186,46808.9077,MULTI-STOREY CAR PARK
570,0,BLK 11/12/13 YORK HILL CAR PARK,YHS,28508.3965,29880.2227,SURFACE CAR PARK
571,4.5,BLK 301/319 SERANGOON AVENUE 2,SE16,31828.4814,37191.2676,SURFACE CAR PARK
572,0,BLK 33-34 TANGLIN HALT ROAD,Q52,24170.85,31017.51,SURFACE CAR PARK
573,3.39,BLK 30/31/46/48 TEBAN GARDENS,TG3,17500.7539,33654.8242,SURFACE CAR PARK
574,2.15,697 JURONG WEST CENTRAL 3,JM32,14062.3852,35973.1774,MULTI-STOREY CAR PARK
575,2.15,BLK 227 ANG MO KIO STREET 23,AM14,28777.0707,38973.9528,MULTI-STOREY CAR PARK
576,4.5,BLK 533 - 534 BUKIT PANJANG RING ROAD,BJBL,20272.3997,40658.5045,SURFACE CAR PARK
577,2.15,BLK 117D RIVERVALE DRIVE,SK21,35766.7722,40531.9718,MULTI-STOREY CAR PARK
578,2.15,BLK 154 BEDOK SOUTH ROAD,B65M,40577.3467,33351.3208,MULTI-STOREY CAR PARK
579,2.15,BLK 672 EDGEFIELD PLAINS,PL56,36726.0925,43212.3119,MULTI-STOREY CAR PARK
580,2.15,BLK 670 EDGEFIELD PLAINS,PL60,36896.1695,43074.4327,MULTI-STOREY CAR PARK
581,0,BLK 187 BEDOK NORTH STREET 4,B23L,39851.2917,34739.452,SURFACE CAR PARK
582,2.15,31A GHIM MOH LINK,GM1M,22552.3566,32407.3317,MULTI-STOREY CAR PARK
583,2.15,BLK 120B KIM TIAN PLACE,KTM2,27349.7876,29542.5114,MULTI-STOREY CAR PARK
584,2.15,BLK 765A BEDOK RESERVOIR VIEW,B77,39464.4992,35319.6825,MULTI-STOREY CAR PARK
585,4.5,"BLK 801, 820, 897/898 TAMPINES AVENUE 4/STREET 81",T37,39468.8647,36543.2578,SURFACE CAR PARK
586,4.5,BLK 857/864 TAMPINES STREET 83/AVENUE 5,T47,39527.3164,37445.0986,SURFACE CAR PARK
587,1.9,BLK 567A CHOA CHU KANG STREET 52,CK40,18298.9982,41919.8106,MULTI-STOREY CAR PARK
588,2.15,BLK 6A FARRER ROAD,FR4M,25130.4814,33238.9594,MULTI-STOREY CAR PARK
589,2.15,BLK 689 CHOA CHU KANG CRESCENT,CK63,18826.1888,42747.1959,MULTI-STOREY CAR PARK
590,2.1,BLK 201/206 CLEMENTI AVENUE 6,C28,20211.495,33712.5638,SURFACE CAR PARK
591,2.15,BLK 782 WOODLANDS CRESCENT,W782,24689.6411,47760.7102,MULTI-STOREY CAR PARK
592,2.15,BLK 449A BUKIT PANJANG RING ROAD,BJ26,21254.4996,40638.8302,MULTI-STOREY CAR PARK
593,0,"BLK 442-444,442A CLEMENTI AVENUE 3",C17,20273.9935,32905.3373,SURFACE CAR PARK
594,9.99,BLK 909/911 JURONG WEST STREET 91,J63,11654.2969,35993.1406,SURFACE CAR PARK
595,2.15,BLK 171A STIRLING ROAD,STM2,24703.9688,30248.287,MULTI-STOREY CAR PARK
596,2.15,BLK 888A WOODLANDS DR 50,PDW8,23752.5835,46647.3671,SURFACE/MULTI-STOREY CAR PARK
597,0,"BLK 701-702,707-710 HOUGANG AVENUE 2",HG35,34192.6367,38725.0781,SURFACE CAR PARK
598,2.15,BLK 35A MARINE CRESCENT,MP2M,36854.4147,31775.1611,MULTI-STOREY CAR PARK
599,2.15,BLK 329 ANCHORVALE STREET,SK94,34234.1105,42026.8616,MULTI-STOREY CAR PARK
600,2.15,BLK 630A WOODLANDS RING ROAD,W91,24421.7399,46312.2663,MULTI-STOREY CAR PARK
601,2.15,BLK 236A COMPASSVALE WALK,SK2,35433.4759,41356.0962,MULTI-STOREY CAR PARK
602,1.9,BLK 340A TAMPINES STREET 33,TM21,42150.9608,37058.3057,MULTI-STOREY CAR PARK
603,3.8,BLK 30/31 TELOK BLANGAH RISE,TB8,26601.755,28348.037,SURFACE CAR PARK
604,2.15,BLK 626A WOODLANDS DRIVE 52,W90,24304.8642,46201.7037,MULTI-STOREY CAR PARK
605,2.15,BLK 643 SENJA CLOSE,BJ69,20182.5515,41087.2501,MULTI-STOREY CAR PARK
606,2,BLK 3A LORONG 7 TOA PAYOH,TP3A,30325.2783,35742.6437,MULTI-STOREY CAR PARK
607,2.15,BLK 586A WOODLANDS DRIVE 16,W586,23702.34,45656.6161,MULTI-STOREY CAR PARK
608,4.5,BLK 238-245 BISHAN STREET 22,BE33,29279.9809,38026.2842,SURFACE CAR PARK
609,2.15,BLK 505A JELAPANG ROAD,BJ29,20695.6095,40765.0345,MULTI-STOREY CAR PARK
610,2.15,BLK 185 WOODLANDS STREET 13,W185,21673.9257,46440.8216,MULTI-STOREY CAR PARK
611,0,BLK 1-3/1A EUNOS CRESCENT,EC4,35720.628,33641.6254,SURFACE CAR PARK
612,4.5,BLK 114-133 MARSILING RISE,W18,22115.7552,46747.594,SURFACE CAR PARK
613,2.15,BLK 603A SENJA ROAD,BJ43,20027.2654,40409.2626,MULTI-STOREY CAR PARK
614,2.15,BLK 18 HOLLAND DRIVE,Q77M,23403.3645,32654.8683,MULTI-STOREY CAR PARK
615,0,BLK 401/402 PANDAN GARDENS,P13,18772.8516,33660.8789,SURFACE CAR PARK
616,0,BLK 403/408 PANDAN GARDENS,P14,18635.6875,33513.0954,SURFACE CAR PARK
617,2.15,BLK 217 SUMANG WALK,PL68,34935.4135,42745.609,MULTI-STOREY CAR PARK
618,2.15,BLK 413A NORTHSHORE DRIVE,PL82,35450.915,44307.2069,BASEMENT CAR PARK
619,0,BLK 37/39 SIN MING DRIVE,SM6,28512.4336,38159.9961,SURFACE CAR PARK
620,2.15,BLK 527A WOODLANDS DRIVE 14,W527,23463.7611,45965.5899,MULTI-STOREY CAR PARK
621,0,BLK 17/21 MARSILING LANE,W7,21800.3125,47200.2539,SURFACE CAR PARK
622,2.15,BLK 747A WOODLANDS CIRCLE,W75,23800.172,47218.8422,MULTI-STOREY CAR PARK
623,0,BLK 45 TELOK BLANGAH DRIVE,TB28,25306,28279.5996,SURFACE CAR PARK
624,0,ANG MO KIO AVENUE 9,AK9,29674.8184,40616.875,SURFACE CAR PARK
625,2.15,BLK 638 SENJA CLOSE,BJ72,19937.6398,41200.6949,MULTI-STOREY CAR PARK
626,2.15,BLK 748 BEDOK RESERVOIR CRESCENT,B98,37860.0561,35362.5681,MULTI-STOREY CAR PARK
627,2.4,BLK 61/69 SENG POH LANE,TE9,27961.4701,29590.094,SURFACE CAR PARK
628,2.15,BLK 465 YISHUN AVENUE 6,Y79M,29856.603,45358.8531,MULTI-STOREY CAR PARK
629,2.15,BLK 382 YISHUN STREET 31,Y83M,29505.6858,45847.8567,MULTI-STOREY CAR PARK
630,2.15,BLK 90 TELOK BLANGAH STREET 31,TBM8,25102.2101,28852.5891,MULTI-STOREY CAR PARK
631,1.9,BLK 864B TAMPINES STREET 83,T47A,39328.7136,37444.6416,MULTI-STOREY CAR PARK
632,4.3,BLK 105-107 CLEMENTI STREET 12,C26,20945.3775,33870.6421,SURFACE CAR PARK
633,3,BLK 259A BANGKIT ROAD,BJ15,21374.3071,39941.9395,MULTI-STOREY CAR PARK
634,2,BLK 708A CHOA CHU KANG STREET 53,CK41,18333.4408,41430.698,MULTI-STOREY CAR PARK
635,2.15,BLK 105 HOUGANG AVENUE 1,HG95,34319.1474,37341.5832,MULTI-STOREY CAR PARK
636,2.15,BLK 334 ANCHORVALE CRESCENT,SK95,34291.9886,42206.0484,MULTI-STOREY CAR PARK
637,2.15,BLK 439 BUKIT BATOK WEST AVENUE 8,U65,17611.6169,37719.6743,MULTI-STOREY CAR PARK
638,2.15,BLK 436 BUKIT BATOK WEST AVENUE 5,U66,17572.5965,37864.1469,MULTI-STOREY CAR PARK
639,2.15,BLK 635A JURONG WEST STREET 65,JM14,13026.1447,36061.7744,MULTI-STOREY CAR PARK
640,5.4,BLK 601/604/603 ANG MO KIO AVENUE 5,A66,28260.64,40279.16,SURFACE CAR PARK
641,4.5,BLK 639/640 ROWELL COURT,CR30,30406.377,32213.3125,SURFACE CAR PARK
642,4.5,BLK 407/410/421 ANG MO KIO AVENUE 10,A38,30367.0774,38445.7028,SURFACE CAR PARK
643,0,BLK 401/405 ANG MO KIO AVENUE 10,A39,30309.63,38134.69,SURFACE CAR PARK
644,2.15,BLK 554A WOODLANDS DRIVE 53,W554,23871.6965,46028.6081,MULTI-STOREY CAR PARK
645,2.15,BLK 126 EDGEDALE PLAINS,P8,36635.3349,41792.3558,MULTI-STOREY CAR PARK
646,0,BLK 504/508 BEDOK NORTH STREET 3,B40,39067.9293,34972.3428,SURFACE CAR PARK
647,2.15,BLK 984 BUANGKOK LINK,HG94,33267.1427,40391.5643,MULTI-STOREY CAR PARK
648,2.15,BLK 2A BEDOK SOUTH AVENUE 1,B92,39197.6251,33772.3265,MULTI-STOREY CAR PARK
649,3.5,BLK 33/38/43/45 TEBAN GARDENS,TG7,17869.5236,33600.6696,SURFACE CAR PARK
650,4.5,BLK 3 TO 5 UPPER ALJUNIED LANE,UA2,33109.332,35098.3344,SURFACE CAR PARK
651,1.9,BLK 644A BUKIT BATOK CENTRAL,U40,18879.8441,36750.5885,MULTI-STOREY CAR PARK
652,4,BLK 15/16 MARSILING LANE,W6,21838.7773,47085.957,SURFACE CAR PARK
653,4.5,BLK 800-812 YISHUN RING ROAD,Y25,27742.9217,44276.3479,SURFACE CAR PARK
654,1.9,BLK 649A JALAN TENAGA,B67,36132.6219,34913.1736,MULTI-STOREY CAR PARK
655,4.5,BLK 146 POTONG PASIR AVENUE 2,PP6,31816.7963,34942.7097,SURFACE CAR PARK
656,4.5,BLK 111-112 LENGKONG TIGA,LT2,36631.1094,34016.6914,SURFACE CAR PARK
657,2.15,BLK 941A HOUGANG STREET 92,HG80,33091.2937,39576.5271,MULTI-STOREY CAR PARK
658,2.15,BLK 267A TOH GUAN ROAD,J96,18166.4546,35964.0009,MULTI-STOREY CAR PARK
659,2.15,BLK 273A TOH GUAN ROAD,J97,18276.4189,36061.6102,MULTI-STOREY CAR PARK
660,4.5,BLK 531/536 SERANGOON NORTH AVENUE 4,SE34,32597.8236,39566.3426,SURFACE CAR PARK
661,2.15,241A BUKIT BATOK EAST AVENUE 5,U54,19312.2301,36987.8524,MULTI-STOREY CAR PARK
662,2.15,BLK 445 BUKIT BATOK WEST AVENUE 8,U55,17419.4393,36994.0568,MULTI-STOREY CAR PARK
663,2.15,BLK 443 BUKIT BATOK WEST AVENUE 8,U56,17317.656,37581.4848,MULTI-STOREY CAR PARK
664,2.15,BLK 483A CHOA CHU KANG AVENUE 5,CKM7,17288.8253,39773.897,MULTI-STOREY CAR PARK
665,2.1,BLK 115A/115B/115C YISHUN RING ROAD,Y3M,27349.1212,46139.6053,BASEMENT CAR PARK
666,0,BLK 257/260 TAMPINES STREET 21,T28,40918.3711,37369.6133,SURFACE CAR PARK
667,2.15,BLK 524A JELAPANG ROAD,PDP5,20516.3308,40817.8945,SURFACE CAR PARK
668,4.5,BLK 505 JURONG WEST STREET 52,J60L,15152.11,36874.8285,SURFACE CAR PARK
669,2.15,BLK 488 CHOA CHU KANG AVENUE 5,CK71,17467.9916,39852.8673,MULTI-STOREY CAR PARK
670,2.15,BLK 489 CHOA CHU KANG AVENUE 5,CK72,17718.345,39728.0193,MULTI-STOREY CAR PARK
671,2.15,BLK 810 CHOA CHU KANG AVENUE 7,CK76,18305.5202,39560.1044,MULTI-STOREY CAR PARK
672,4.5,BLK 2 BEACH ROAD,CR1A,31521.2359,31781.8809,SURFACE CAR PARK
673,4.5,BLK 3 BEACH ROAD,CR1B,31565.7734,31819.2245,SURFACE CAR PARK
674,0,BLK 352-355 CHOA CHU KANG CENTRAL,CK25,18031.459,40472.3086,SURFACE CAR PARK
675,0,"BLK 302, 304-308 CHOA CHU KANG LOOP",CK26,17943.7793,40730.3711,SURFACE CAR PARK
676,2,BLK 276A CHOA CHU KANG AVENUE 2,CK28,18079.0694,40228.4669,MULTI-STOREY CAR PARK
677,4.5,"BLK 401-413, 460-463 HOUGANG AVENUE 10",HG67,34955.3741,39587.9068,SURFACE CAR PARK
678,2.15,BLK 233A COMPASSVALE WALK,SK6,35525.092,41265.8605,MULTI-STOREY CAR PARK
679,2.15,BLK 410 FERNVALE ROAD,SK77,32809.1737,41359.6037,MULTI-STOREY CAR PARK
680,0,BLK 24 & 25 TEBAN GARDENS,TG1,17351.3149,33950.9498,SURFACE CAR PARK
681,2.15,BLK 65A KALLANG BAHRU,KBM,31984.8599,33610.8985,MULTI-STOREY CAR PARK
682,1.9,BLK 521A PASIR RIS STREET 52,PM26,40316.681,39541.0967,MULTI-STOREY CAR PARK
683,0,BLK 850/855 YISHUN STREET 81/RING ROAD,Y31,28380.8499,44273.0647,SURFACE CAR PARK
684,4.5,BLK 113/114/118 ANG MO KIO AVENUE 4,A26,28236.93,39419.47,SURFACE CAR PARK
685,0,BLK 537 BEDOK NORTH STREET 3,B46,38112.1565,34836.4398,SURFACE CAR PARK
686,5.4,BLK 108/109/110 ANG MO KIO STREET 11,A27,28556.67,39153.3,SURFACE CAR PARK
687,0,BLK 103/105/107 ANG MO KIO STREET 11,A28,28461.3669,39295.5961,SURFACE CAR PARK
688,4.5,BLK 119/128 ANG MO KIO STREET 12,A31,29155.32,39163.04,SURFACE CAR PARK
689,0,BLK 422/425 ANG MO KIO STREET 42,A34,30042,38931.43,SURFACE CAR PARK
690,2.15,BLK 203A CHOA CHU KANG AVENUE 1/CENTRAL,CK8A,18614.0227,40353.8181,MULTI-STOREY CAR PARK
691,4.5,BLK 301/305-306/311-318 UBI AVENUE 1,KU1,35764.1553,34634.4679,SURFACE CAR PARK
692,2.15,108A DEPOT ROAD,DRM3,25390.1316,29254.1321,MULTI-STOREY CAR PARK
693,0,BLK 562/565/560 ANG MO KIO STREET 54,A47,30885.475,39174.8899,SURFACE CAR PARK
694,0,BLK 152A BEDOK SOUTH ROAD,B65L,40720.5785,33389.4366,SURFACE CAR PARK
695,0,BLK 437 FERNVALE ROAD,S69A,32847.355,41553.4443,SURFACE CAR PARK
696,2.14,BLK 156A RIVERVALE CRESCENT,SK66,36192.9313,41509.0921,MULTI-STOREY CAR PARK
697,1.86,BLK 441A PASIR RIS DRIVE 6,PRM1,41857.2031,39071.4559,MULTI-STOREY CAR PARK
698,0,BLK 115B AND 115C CANBERRA WALK,S40L,27600.8748,47574.1207,SURFACE CAR PARK
699,2.15,BLK 204 COMPASSVALE DRIVE,SK29,34907.7394,41106.0902,MULTI-STOREY CAR PARK
700,2.15,BLK 37A MARGARET DRIVE,DSR2,24885.23,31140.1423,MULTI-STOREY CAR PARK
701,2.15,BLK 40 & 41 MARGARET DRIVE,DWSO,25064.6593,30982.3473,MULTI-STOREY CAR PARK
702,2.15,BLK 213 PUNGGOL WALK,PL51,35270.4165,42433.5886,MULTI-STOREY CAR PARK
703,4.5,BLK 221/235 SIMEI STREET 4,SI13,41776.8118,36015.1241,SURFACE CAR PARK
704,2,BLK 28A BALAM ROAD,MM1,33981.2699,34740.5471,MULTI-STOREY CAR PARK
705,0,BLK 59 ENG HOON STREET,TE23,28023.0859,29632.3616,SURFACE CAR PARK
706,0,BLK 116/117 BUKIT MERAH VIEW,HE3,26708.25,29683.2227,SURFACE CAR PARK
707,0,BLK 283/286 TAMPINES STREET 22,T34,41284.2492,36781.636,SURFACE CAR PARK
708,5.4,BLK 34-36 JALAN RUMAH TINGGI,BM14,25276.6255,30161.1078,SURFACE CAR PARK
709,0,BLK 18/19 JALAN SULTAN,CR5,31218.4922,31730.7441,SURFACE CAR PARK
710,1.9,BLK 343A CHOA CHU KANG LOOP,CK22,18276.2056,40644.1197,MULTI-STOREY CAR PARK
711,9.99,BLK 170/172 ANG MO KIO STREET 13,A81,28351.6931,39594.7701,SURFACE CAR PARK
712,9.99,BLK 90B TELOK BLANGAH STREET 31,TBL,25044.3866,28772.2926,SURFACE CAR PARK
713,2.15,BLK 80 TELOK BLANGAH STREET 31,TBMT,25059.9661,28475.4537,MULTI-STOREY CAR PARK
714,2.15,BLK 260 KIM KEAT AVENUE,TPMH,30679.7745,34913.8565,MULTI-STOREY CAR PARK
715,2,BLK 613A ANG MO KIO AVENUE 4,A76,28613.8871,39995.2242,MULTI-STOREY CAR PARK
716,1.9,BLK 96 HAVELOCK ROAD MSCP,H14,27905.0274,30102.5966,MULTI-STOREY CAR PARK
717,1.9,BLK 384A TAMPINES STREET 32,TM11,41934.0052,37388.5874,MULTI-STOREY CAR PARK
718,4.5,BLK 50/71 TELOK BLANGAH DRIVE,TB17,25740.9065,28588.0794,SURFACE CAR PARK
719,4.5,BLK 72/74/84 TELOK BLANGAH DRIVE,TB18,25383.8683,28775.7738,SURFACE CAR PARK
720,2.15,BLK 121E SENGKANG EAST WAY,SK23,36099.0459,40907.1776,MULTI-STOREY CAR PARK
721,0,BLK 107/108/110-112 LORONG 1 TOA PAYOH,TP32,29572.6442,35915.372,SURFACE CAR PARK
722,2,BLK 5A HOLLAND CLOSE,Q87,23873.3239,32354.7312,MULTI-STOREY CAR PARK
723,2.15,BLK 919A HOUGANG AVENUE 4,HG77,33667.3839,39716.3125,MULTI-STOREY CAR PARK
724,9.99,BLK 164/165 BUKIT MERAH CENTRAL,BM30,26154.2109,29519.0586,SURFACE CAR PARK
725,1.95,BLK 282 BISHAN STREET 22,BE37,29235.553,37787.1371,MULTI-STOREY CAR PARK
726,4.5,BLK 45 MARINE CRESCENT,MP5S,36819.8751,31889.6622,SURFACE CAR PARK
727,4.5,BLK 415 PANDAN GARDENS,P12,18526.4824,33647.3125,SURFACE CAR PARK
728,2.15,BLK 667A WOODLANDS RING ROAD,W96,24060.4226,46730.8096,MULTI-STOREY CAR PARK
729,2.15,BLK 671A WOODLANDS DRIVE 71,W97,24212.7627,46796.478,MULTI-STOREY CAR PARK
730,3.8,BLK 29/32 TELOK BLANGAH RISE,TB7,26673.4648,28437.3189,SURFACE CAR PARK
731,2.15,BLK 638A JURONG WEST STREET 61,JM31,12894.0173,36018.9264,MULTI-STOREY CAR PARK
732,2.15,BLK 684 JURONG WEST STREET 64,JM4,13598.5325,36287.4517,MULTI-STOREY CAR PARK
733,2.15,BLK 664 JURONG WEST STREET 64,JM5,13512.8021,35739.3606,MULTI-STOREY CAR PARK
734,4.5,BLK 111/116 JURONG EAST STREET 13,J3,17112.1421,35740.2671,SURFACE CAR PARK
735,4.5,BLK 201/206 JURONG EAST STREET 21,J4,17826.3697,35522.9964,SURFACE CAR PARK
736,4.5,BLK 441/455 JURONG WEST AVENUE 1/STREET 42,J48,15219.7479,37142.2128,SURFACE CAR PARK
737,2.15,560 JURONG WEST STREET 42,J49M,15352.863,37320.212,MULTI-STOREY CAR PARK
738,0,BLK 207/208 JURONG EAST STREET 21,J5,17883.7508,35609.7189,SURFACE CAR PARK
739,2.15,BLK 971A HOUGANG STREET 91,HG91,33219.5565,39999.7403,MULTI-STOREY CAR PARK
740,0,BLK 609A BEDOK RESERVOIR ROAD,B50B,36751.1433,34871.319,SURFACE CAR PARK
741,4.5,BLK 601-608 HOUGANG AVENUE 4,HG32,33869.4973,39265.7089,SURFACE CAR PARK
742,2.15,BLK 53A STRATHMORE AVENUE,SMM,25135.7671,30634.5571,MULTI-STOREY CAR PARK
743,2.15,BLK 440 FERNVALE LINK,SK96,33000.3795,41646.8467,MULTI-STOREY CAR PARK
744,4.5,BLK 29/30 KELANTAN LANE,CR29,30612.5155,32012.4666,SURFACE CAR PARK
745,4.5,BLK 134-143 MARSILING ROAD,W19,21755.788,46587.4955,SURFACE CAR PARK
746,4.5,BLK 144-166 WOODLANDS STREET 13,W20,21482.2371,46304.8149,SURFACE CAR PARK
747,0,BLK 107-108 ALJUNIED CRESCENT,GE1F,33666.5701,33497.1087,SURFACE CAR PARK
748,0,BLK 95 & 113 ALJUNIED CRESCENT,GE1G,33897.2922,33690.8917,SURFACE CAR PARK
749,2,BLK 856A TAMPINES STREET 82,TM18,39653.7508,37167.0637,MULTI-STOREY CAR PARK
750,5.4,BLK 120 TO 123 GEYLANG EAST CENTRAL,GE2,33733.7656,33357.2852,SURFACE CAR PARK
751,2.15,BLK 651 ANG MO KIO AVENUE 9,A101,28937.1415,40554.9338,MULTI-STOREY CAR PARK
752,4.5,BLK 105/108 JALAN RAJAH,RC3,30364.4121,34500.5937,SURFACE CAR PARK
753,4.5,BLK 515/517 JURONG WEST STREET 52,J32,15441.7334,36438.2695,SURFACE CAR PARK
754,4.5,BLK 50/54 CHAI CHEE STREET,CC11,37828.6078,34590.3599,SURFACE CAR PARK
755,1.9,BLK 257A PASIR RIS STREET 21,PM7,42459.8111,38843.4823,MULTI-STOREY CAR PARK
756,4.5,BLK 228-231 BISHAN STREET 23,BE29,29400.2617,37725.7422,SURFACE CAR PARK
757,4.5,BLK 502/503 JURONG WEST AVENUE 1,J47,15168.6443,36930.4317,SURFACE CAR PARK
758,0,BLK 321/329 SERANGOON AVENUE 3,SE17,31827.3152,37091.2582,SURFACE CAR PARK
759,4.5,BLK 133/139 BUKIT BATOK WEST AVENUE 6,U3,18098.9773,37055.7538,SURFACE CAR PARK
760,2.15,BLK 109 PUNGGOL FIELD,P6,36473.7909,41918.4197,MULTI-STOREY CAR PARK
761,1.9,BLK 220A PASIR RIS STREET 21,PM2,42210.8365,39121.6128,MULTI-STOREY CAR PARK
762,4.5,BLK 210/230 TAMPINES STREET 23,T19,41357.6797,37403.3437,SURFACE CAR PARK
763,0,BLK 231/238 TAMPINES STREET 21,T20,40691.5398,37589.1246,SURFACE CAR PARK
764,0,BLK 239/244 TAMPINES STREET 21,T24,40682.5014,37392.3908,SURFACE CAR PARK
765,2.15,BLK 525A WOODLANDS DRIVE 14,W525,23506.2589,46033.557,MULTI-STOREY CAR PARK
766,2.15,BLK 775A WOODLANDS CRESCENT,W80,24330.2647,47756.4455,MULTI-STOREY CAR PARK
767,2.15,BLK 840A YISHUN STREET 81,Y28M,28117.1717,44138.2643,MULTI-STOREY CAR PARK
768,2.15,BLK 17 CIRCUIT ROAD,MM5,34149.4724,34667.1985,MULTI-STOREY CAR PARK
769,3.8,BLK 547/551 ANG MO KIO STREET 54,A59,30762.295,39543.9937,SURFACE CAR PARK
770,2.15,BLK 14A FARRER PARK ROAD,KJM2,30084.3192,32664.3631,MULTI-STOREY CAR PARK
771,5.4,BLK 625/627 ANG MO KIO STREET 61,A90,28882.3578,40440.1317,SURFACE CAR PARK
772,0,BLK 259 ANG MO KIO AVENUE 2,A98,27837.0334,39020.7488,SURFACE CAR PARK
773,0,BLK 9/10 GLOUCESTER ROAD,KJ1,30083.6504,32880.4805,SURFACE CAR PARK
774,2.15,BLK 282A TOH GUAN ROAD,J95,18403.3359,35807.1678,MULTI-STOREY CAR PARK
775,2.15,BLK 611A/613A/615A/616A BUKIT PANJANG RING ROAD/SENJA ROAD,BJ49,20006.0358,40760.5616,MULTI-STOREY CAR PARK
776,1.9,BLK 225A PETIR ROAD MSCP,BJ5,21295.8798,39665.1802,MULTI-STOREY CAR PARK
777,2.15,BLK 468A SEGAR ROAD,BJ50,21363.991,41123.9328,MULTI-STOREY CAR PARK
778,4.5,BLK 324/336 BUKIT BATOK STREET 32/33,U24,18465.58,38439.7002,SURFACE CAR PARK
779,0,"BLK 1,2,9 KAMPONG KAYU",JB4,33547.8789,31758.125,SURFACE CAR PARK
780,0,PUNGGOL ROAD,P34L,36246.7526,42930.9252,SURFACE CAR PARK
781,2.15,BLK 632 SENJA ROAD,BJ65,19702.7354,40739.1965,MULTI-STOREY CAR PARK
782,0,351A-351D ANCHORVALE ROAD,S13L,33976.3641,41801.3132,SURFACE CAR PARK
783,0,"353A-353B,355A,356A-356B ANCHORVALE LANE",S14L,33672.15,41719.2634,SURFACE CAR PARK
784,2.15,BLK 358A ADMIRALTY DRIVE,SB15,26149.9066,47840.5307,MULTI-STOREY CAR PARK
785,2.2,BLK 467 BUKIT BATOK WEST AVENUE 9,U69,18000.4363,37685.2975,MULTI-STOREY CAR PARK
786,1.9,BLK 94A BEDOK NORTH AVENUE 4,B69,40091.8567,35069.2759,MULTI-STOREY CAR PARK
787,2.15,BLK 801 KEAT HONG CLOSE,CK73,17994.5933,39697.5018,MULTI-STOREY CAR PARK
788,2.15,BLK 106 CANBERRA STREET,SB37,27935.4647,47865.1427,MULTI-STOREY CAR PARK
789,4.5,BLK 702/703 WEST COAST ROAD,C34,19944.5184,32148.1942,SURFACE CAR PARK
790,2,BLK 154A JALAN TECK WHYE,TWM1,19566.0155,40125.5448,MULTI-STOREY CAR PARK
791,4.5,BLK 63-66 YUNG KUANG ROAD,TJ18,15681.6343,34890.7603,SURFACE CAR PARK
792,9.99,BLK 111/132 BUKIT BATOK WEST AVENUE 6,U2,18316.8368,36887.7302,SURFACE CAR PARK
793,0,- BUKIT BATOK EAST AVENUE 2/6,U20,19895.4902,36584.6445,SURFACE CAR PARK
794,2.15,BLK 164 RIVERVALE CRESCENT,S102,36266.5706,41244.503,MULTI-STOREY CAR PARK
795,2.15,813 YISHUN RING ROAD,Y25M,27925.9358,44389.0052,MULTI-STOREY CAR PARK
796,2.15,BLK 127 KIM TIAN ROAD,KTM6,27546.4706,29366.694,MULTI-STOREY CAR PARK
797,2.15,BLK 460 SENGKANG WEST WAY,S114,32040.2678,41790.0426,MULTI-STOREY CAR PARK
798,2.15,BLK 462 SENGKANG WEST WAY,S115,32243.4465,41773.7554,MULTI-STOREY CAR PARK
799,2.15,BLK 536A WOODLANDS DRIVE 14,W536,23348.8456,45873.6556,MULTI-STOREY CAR PARK
800,2.15,BLK 769A BEDOK RESERVOIR VIEW,B78,39692.6527,35310.6109,MULTI-STOREY CAR PARK
801,2.15,BLK 772A BEDOK RESERVOIR VIEW,B79,39583.9006,35439.6773,MULTI-STOREY CAR PARK
802,0,BLK 682-684 HOUGANG STREET 61,HG64,33895.9179,39593.254,SURFACE CAR PARK
803,2.15,BLK 443 FAJAR ROAD,BJ63,20985.8418,40364.4597,MULTI-STOREY CAR PARK
804,0,BLK 114-117 ALJUNIED AVENUE 2,GE1B,33973.3743,33717.7668,SURFACE CAR PARK
805,2.15,BLK 639A WOODLANDS RING ROAD,W93,24580.5607,46608.2682,MULTI-STOREY CAR PARK
806,4.5,BLK 241/245 JURONG EAST STREET 24,J9,17837.3306,36030.7859,SURFACE CAR PARK
807,2.15,817 KEAT HONG LINK,CK78,18660.8389,39885.9891,MULTI-STOREY CAR PARK
808,2,BLK 6A BOON KENG ROAD,BKRM,31121.6383,33283.2558,MULTI-STOREY CAR PARK
809,0,BLK 106A PUNGGOL FIELD,P5L,36283.2687,42152.2969,SURFACE CAR PARK
810,2.15,BLK 590 ANG MO KIO STREET 51,AM64,30201.236,39274.274,MULTI-STOREY CAR PARK
811,2.15,BLK 596 ANG MO KIO STREET 52,AM79,30004.2224,39370.6063,MULTI-STOREY CAR PARK
812,2.15,BLK 130A ANG MO KIO STREET 12,AM80,28950.7223,39184.6976,MULTI-STOREY CAR PARK
813,2.15,BLK 132A ANG MO KIO STREET 12,AM81,28960.3285,39294.4158,MULTI-STOREY CAR PARK
